,popularity
6581,48
6648,48
6650,50
8102,70
8110,70
14113,42
14373,46
14596,46
15041,52
15088,51
15114,51
15133,49
15481,54
15736,60
16203,68
16235,69
22052,45
22083,45
22649,47
24226,69
30386,38
30589,44
30644,46
30715,47
30719,47
31057,49
31461,54
32191,69
38734,45
39071,49
39077,49
39082,49
39528,53
46036,38
46494,45
46502,45
46900,49
47305,54
47829,64
54050,44
54913,53
55426,65
61123,42
61151,41
61667,42
62584,53
62940,62
68476,41
69093,44
69119,44
69132,44
69533,47
75822,33
76007,36
76417,42
76470,44
77296,50
85867,71
85943,80
85964,71
85984,68
86141,82
86190,70
86193,71
86221,66
86363,74
86419,67
86448,77
86924,69
86959,78
87027,69
87268,77
95660,62
95689,60
95785,59
95788,60
95796,59
95821,58
95974,63
95981,64
95990,62
96148,65
96155,65
96266,64
96276,61
96753,69
104884,56
105162,56
105173,56
105207,55
105258,57
105275,56
105448,60
105511,58
106137,61
106227,63
106266,64
106539,67
106561,67
106662,63
107096,74
114545,58
114583,53
114613,52
114928,50
114932,50
115134,53
115150,59
115695,61
115940,66
116026,63
124025,52
124068,54
124072,51
124550,54
124675,56
125174,59
125209,59
125962,74
125980,72
133348,52
133365,49
133373,52
133385,52
133428,49
133851,53
133852,53
133920,52
133976,55
133997,54
134002,56
134011,55
134031,49
134475,61
134831,60
142132,51
142182,50
142199,50
142495,52
142682,52
142788,53
142809,52
143284,57
143307,56
143326,56
144087,70
150852,49
150883,48
150978,46
151193,44
151318,51
151343,51
151840,54
151870,54
151940,56
152661,69
152682,69
152818,73
159338,48
159365,45
159600,51
159623,50
159915,51
159916,53
159965,50
160082,47
160325,53
160371,54
160380,53
160387,51
160428,55
167739,47
167770,47
168243,47
168288,49
168306,48
168752,53
168766,53
168793,54
168805,52
169891,70
