principal component 1,principal component 2,popularity,year
-0.205289992,0.230257296,48,2005
0.025541241,-0.093705258,48,2005
-0.081468315,-0.024868923,50,2005
0.013556245,0.117177649,70,2020
-0.103817275,-0.0221632,70,2020
-0.005160228,0.016329049,42,1999
-0.077855715,-0.017182798,46,2002
0.079635518,0.067302177,46,2004
-0.140674867,-0.089184298,52,2009
0.179030251,0.005578434,51,2009
-0.036494632,0.048679374,51,2009
-0.033884618,0.04710039,49,2009
0.016218271,-0.084816551,54,2013
-0.152438978,-0.099510808,60,2015
-0.130522711,-0.032863795,68,2020
-0.185095145,0.179491496,69,2020
0.9430499,0.081131765,45,1999
0.922943438,-0.063367366,45,1999
0.099071235,-0.015630669,47,2005
-0.165442833,-0.010832888,69,2020
-0.207968428,0.219329635,38,2002
0.109792622,-0.034356489,44,2004
-0.012914148,0.091408315,46,2005
-0.212303097,0.201052553,47,2005
0.068696246,0.108268519,47,2005
-0.008550741,-0.247234792,49,2009
-0.077843912,-0.026457596,54,2013
-0.100375942,-0.128067899,69,2020
-0.028201026,-0.140804777,45,2005
0.076984556,-0.155023101,49,2009
-0.112382925,0.130103371,49,2009
-0.246908377,-0.091313123,49,2009
0.008373764,-0.138520381,53,2013
-0.147334704,0.240183924,38,2000
-0.071463628,-0.057110979,45,2005
-0.197782752,-0.059535761,45,2005
-0.112456659,-0.151042475,49,2009
-0.066690597,0.157950896,54,2013
0.143293672,0.12317194,64,2018
0.189244865,-0.22993312,44,2004
0.037926285,-0.223084734,53,2013
0.004003933,-0.031776249,65,2018
-0.06791555,0.365338529,42,1999
0.514907919,0.041180744,41,1999
0.825312657,0.088181017,42,2004
0.020097573,-0.128022079,53,2013
-0.01440637,0.295856692,62,2017
-0.144249977,0.122484706,41,1999
-0.001759888,0.033095641,44,2005
-0.175248025,0.254790019,44,2005
-0.118008417,-0.228862153,44,2005
-0.21665864,0.040113513,47,2009
-0.132159502,-0.202726781,33,1998
0.103270148,-0.036968531,36,2000
1.06335584,0.198397557,42,2004
-0.041948897,0.193578166,44,2005
-0.041982444,-0.210765843,50,2013
-0.028392344,0.103529859,71,1999
-0.209627219,0.221509688,80,2000
-0.056106404,-0.094509987,71,2000
0.124957978,0.18931137,68,2000
-0.212170979,0.192547529,82,2002
-0.140611517,0.090964284,70,2002
-0.189500392,-0.074239319,71,2002
-0.024132008,0.013551464,66,2002
0.087598686,-0.025702729,74,2004
0.012218652,-0.160076108,67,2004
-0.081468315,-0.024868923,77,2005
-0.033884618,0.04710039,69,2009
0.14397016,-0.167060327,78,2010
-0.0343414,-0.176738966,69,2010
0.161356724,-0.152556532,77,2013
-0.043355988,0.190351912,62,1999
-0.128475648,-0.257159863,60,1999
-0.159680693,0.008963366,59,2000
-0.012413387,0.038321528,60,2000
-0.087827463,0.205661911,59,2000
-0.2212335,0.171262684,58,2000
-0.152981246,0.058063906,63,2002
-0.167805523,0.041426649,64,2002
-0.199489918,-0.071665252,62,2002
0.231712322,-0.160871247,65,2004
-0.186056961,0.238464806,65,2004
0.025541241,-0.093705258,64,2005
0.032002259,-0.100050498,61,2005
-0.200879576,-0.124115362,69,2010
0.021674554,-0.166290544,56,1996
-0.097569153,0.165651907,56,1999
-0.116292155,0.205661939,56,1999
0.015010604,-0.15279354,55,1999
0.059291141,0.155609188,57,2000
-0.006090706,-0.267801651,56,2000
