principal component 1,principal component 2,year,popularity
1.490344915,0.518492686,1967,29
2.800502522,-0.662214663,1967,29
0.183568114,-1.111395797,1967,27
-0.53240867,0.585315192,1967,29
0.011818007,-1.030655956,1967,27
3.54843551,0.046285845,1969,30
0.910959845,0.264497818,1988,38
-0.971012573,-0.504756345,1988,36
-1.419127524,-0.74888786,1988,37
0.597724465,-0.455934278,2014,57
-0.781694462,2.288280247,1967,27
2.426195938,-1.883997237,1967,27
3.693240506,-0.2295328,1967,27
0.804349904,-1.062973083,1967,26
-1.182127937,-0.118443657,1988,37
-1.559365394,0.858229853,1988,37
1.940835856,-0.881557218,1967,27
-0.569726097,-0.546058987,1967,27
0.20363474,-0.852461576,1967,27
3.816142297,1.28189577,1967,27
0.593666396,-0.279089923,1967,27
1.028395313,0.466597383,1967,27
0.282439225,-0.687992001,1967,27
1.45507175,0.229743226,1967,25
0.134437313,-0.327533999,1969,30
-0.68960218,-0.317424937,1988,37
1.309324819,-0.829961811,1988,36
-1.313717437,-0.225494159,2014,59
1.155761139,0.610631794,1967,26
2.588076323,-0.477191223,1967,25
5.869068499,-0.575873909,1967,26
1.774287403,0.555393154,1967,25
2.06790009,0.635662377,1967,26
5.205275871,5.671711394,1967,26
1.032671123,1.324656347,1967,25
3.342495074,2.332146862,1967,26
-0.563888862,-1.143426937,1967,26
-1.702943646,0.3179512,1988,35
-0.690436573,0.820101987,1988,34
4.068398282,-0.971522795,1996,43
0.648060569,-0.628725936,1967,25
2.178266584,0.361037157,1967,25
-0.931379795,0.254538214,1967,24
-2.12826047,-0.241713944,1967,24
1.172779434,1.123056662,1967,25
2.011898356,-0.665980728,1967,24
4.646145416,2.551648689,1969,27
3.808992192,-0.733337206,2006,47
0.720215312,-0.891146376,1967,24
3.007020016,-0.775289535,1967,24
-0.739846064,-1.708011687,1967,24
4.453689614,0.532537998,1967,23
2.691636282,0.068108942,1967,23
3.164126353,-0.138355917,2006,49
-0.749676611,0.390619764,1995,40
4.155007852,-1.200377539,1969,23
3.712313019,-1.481404198,1996,39
-0.942375428,-0.91408228,1963,74
-1.458694509,-0.464756955,1963,71
-0.917811775,-0.545771132,1963,68
