,principal component 1,principal component 2,popularity,year
0,-1.610848598,1.268237122,48,2005
1,0.44507083,-0.769327799,48,2005
2,-0.332766864,-0.400753122,50,2005
3,-0.057697936,0.746625607,70,2020
4,-0.536627827,-0.347495366,70,2020
5,-0.136045616,0.189823772,42,1999
6,-0.323652729,-0.346055057,46,2002
7,0.571479777,0.305243423,46,2004
8,-1.069174659,-0.365437612,52,2009
9,1.303709038,-0.067085009,51,2009
10,-0.337471804,0.286530512,51,2009
11,-0.238732317,0.121752468,49,2009
12,0.216212134,-0.521780971,54,2013
13,-0.739588754,-0.933309395,60,2015
14,-0.780483407,-0.320644203,68,2020
15,-1.355677972,0.905880003,69,2020
16,5.33903985,1.689151875,45,1999
17,5.444385627,0.721564442,45,1999
18,0.74818296,-0.208003728,47,2005
19,-1.013850335,-0.233351701,69,2020
20,-1.562795969,1.147622413,38,2002
21,0.863153836,-0.345946143,44,2004
22,-0.224451463,0.588578359,46,2005
23,-1.561347745,1.023168145,47,2005
24,0.284973186,0.732364332,47,2005
25,0.400491594,-1.709440203,49,2009
26,-0.649797037,-0.035870794,54,2013
27,-0.581630659,-0.777164646,69,2020
28,-0.016905136,-0.921512137,45,2005
29,0.709101795,-0.960334581,49,2009
30,-0.916683463,0.761553281,49,2009
31,-1.336166583,-0.917170111,49,2009
32,-0.154135745,-0.443648429,53,2013
33,-1.261527524,1.362036356,38,2000
34,-0.258706606,-0.559127939,45,2005
35,-1.00197327,-0.75272872,45,2005
36,-0.708027601,-0.833947608,49,2009
37,-0.486401193,0.71258139,54,2013
38,0.509872144,1.100658073,64,2018
39,1.816704595,-1.85503934,44,2004
40,0.323521509,-1.164230696,53,2013
41,0.321409677,-0.508783015,65,2018
42,-1.332801443,8.172138647,42,1999
43,3.198717641,0.550832003,41,1999
44,4.833947053,1.237264681,42,2004
45,0.131831506,-0.673156641,53,2013
46,-0.390685165,1.675054981,62,2017
47,-0.645442228,0.124006503,41,1999
48,-0.120452145,0.244863552,44,2005
49,-1.447762331,1.429195837,44,2005
50,-0.272693958,-1.741464917,44,2005
51,-1.645484806,0.299864641,47,2009
52,-0.434187285,-1.543636499,33,1998
53,0.575353761,-0.063546937,36,2000
54,6.034952674,2.343254765,42,2004
55,-0.435961681,1.078780088,44,2005
56,-0.006632973,-1.341190903,50,2013
57,-0.361423022,0.680677768,71,1999
58,-1.632707457,1.218423447,80,2000
59,-0.40552379,-0.470643601,71,2000
60,0.460932315,1.353980028,68,2000
61,-1.555782084,0.978054695,82,2002
62,-1.13539607,0.586347454,70,2002
63,-0.94338815,-0.820540722,71,2002
64,0.257619603,-0.459992477,66,2002
65,0.70433799,-0.301247993,74,2004
66,0.569280043,-1.331605088,67,2004
67,-0.332766864,-0.400753122,77,2005
68,-0.238732317,0.121752468,69,2009
69,0.509179131,-0.354274827,78,2010
70,-0.114676387,-1.063351735,69,2010
71,0.949467236,-0.625733302,77,2013
72,-0.448014741,1.066364143,62,1999
73,-0.307881152,-1.92081636,60,1999
74,-0.899833979,-0.242322549,59,2000
75,-0.191408413,0.269021589,60,2000
76,-0.743835973,1.117605659,59,2000
77,-1.628638788,0.881285512,58,2000
78,-0.96065069,0.129597949,63,2002
79,-1.264461103,0.295081779,64,2002
80,-1.353487816,-0.392086001,62,2002
81,1.489984073,-0.723995745,65,2004
82,-1.48816935,1.311902933,65,2004
83,0.44507083,-0.769327799,64,2005
84,0.504950385,-0.817110632,61,2005
