,artists
1755,Johnny Cash
1774,Johnny Cash
1823,Johnny Cash
1833,Johnny Cash
1852,Johnny Cash
1861,Frank Sinatra
1886,Frank Sinatra
1887,Johnny Cash
1899,Johnny Cash
1900,Frank Sinatra
1903,Frank Sinatra
1935,Johnny Cash
1941,Johnny Cash
1951,Frank Sinatra
1952,Frank Sinatra
2064,Johnny Cash
2082,Johnny Cash
2084,Johnny Cash
2099,Johnny Cash
2117,Johnny Cash
2165,Frank Sinatra
2176,Frank Sinatra
2240,Johnny Cash
2264,Johnny Cash
2288,Frank Sinatra
2292,Frank Sinatra
2295,Frank Sinatra
2299,Johnny Cash
2301,Frank Sinatra
2308,Johnny Cash
2310,Frank Sinatra
2311,Frank Sinatra
2315,Elvis Presley
2322,Johnny Cash
2323,Johnny Cash
2343,Frank Sinatra
2346,Johnny Cash
2358,Bob Dylan
2365,The Beach Boys
2366,The Beach Boys
2371,The Beach Boys
2372,The Beach Boys
2380,The Beach Boys
2390,Johnny Cash
2394,The Beach Boys
2406,The Beach Boys
2407,Elvis Presley
2410,Bob Dylan
2416,Elvis Presley
2422,Frank Sinatra
2426,Bob Dylan
2427,Bob Dylan
2438,The Beach Boys
2443,The Beach Boys
2448,Bob Dylan
2449,Elvis Presley
2453,Bob Dylan
2456,The Rolling Stones
2472,The Rolling Stones
2473,The Beach Boys
2494,The Beach Boys
2496,The Rolling Stones
2506,Johnny Cash
2508,Elvis Presley
2522,Frank Sinatra
2525,The Beach Boys
2530,The Beach Boys
2544,Elvis Presley
2554,The Beach Boys
2555,Johnny Cash
2559,The Beach Boys
2568,The Rolling Stones
2579,The Beach Boys
2582,Bob Dylan
2591,The Rolling Stones
2598,The Rolling Stones
2600,The Rolling Stones
2607,The Beach Boys
2627,The Rolling Stones
2632,Frank Sinatra
2651,Bob Dylan
2657,Bob Dylan
2666,Bob Dylan
2669,Johnny Cash
2676,The Beach Boys
2679,Bob Dylan
2681,Bob Dylan
2682,Bob Dylan
2699,The Beach Boys
2702,The Rolling Stones
2712,Bob Dylan
2714,Bob Dylan
2715,The Beach Boys
2720,Bob Dylan
2721,Frank Sinatra
2722,The Rolling Stones
2724,Frank Sinatra
2726,Bob Dylan
2728,The Rolling Stones
2730,The Beach Boys
2731,Bob Dylan
2732,Frank Sinatra
2735,Bob Dylan
2736,The Rolling Stones
2748,Elvis Presley
2751,Bob Dylan
2752,The Rolling Stones
2755,The Beatles
2756,The Beatles
2768,The Rolling Stones
2771,The Rolling Stones
2784,The Rolling Stones
2793,The Rolling Stones
2798,The Beatles
2805,The Rolling Stones
2806,The Rolling Stones
2809,The Rolling Stones
2811,The Rolling Stones
2813,The Beach Boys
2823,Bob Dylan
2841,The Beatles
2844,The Beatles
2862,Johnny Cash
2898,Elvis Presley
2908,The Beach Boys
2923,Johnny Cash
2925,The Beach Boys
2944,Elvis Presley
2969,Frank Sinatra
2977,Elvis Presley
3014,Frank Sinatra
3017,Elvis Presley
3024,The Beach Boys
3042,Led Zeppelin
3050,The Beatles
3079,Led Zeppelin
3084,Elvis Presley
3089,Bob Dylan
3091,Bob Dylan
3100,The Rolling Stones
3103,The Rolling Stones
3106,Led Zeppelin
3131,The Beach Boys
3135,Elvis Presley
3139,Bob Dylan
3158,The Beach Boys
3165,The Rolling Stones
3190,The Rolling Stones
3194,The Beach Boys
3207,The Rolling Stones
3218,Elvis Presley
3290,The Rolling Stones
3294,The Rolling Stones
3318,Johnny Cash
3329,The Rolling Stones
3332,The Rolling Stones
3333,The Rolling Stones
3354,Johnny Cash
3356,Frank Sinatra
3359,Bob Dylan
3362,Led Zeppelin
3415,Led Zeppelin
3442,The Rolling Stones
3455,The Rolling Stones
3463,Frank Sinatra
3474,The Beach Boys
3492,Bob Dylan
3496,The Beach Boys
3511,The Rolling Stones
3517,Bob Dylan
3549,The Beach Boys
3551,Bob Dylan
3636,Led Zeppelin
3648,Bob Dylan
3927,Bob Dylan
3929,The Rolling Stones
3976,Led Zeppelin
3989,Led Zeppelin
4012,Led Zeppelin
4024,Led Zeppelin
4062,The Rolling Stones
4113,The Rolling Stones
4130,Frank Sinatra
4264,Led Zeppelin
4291,Led Zeppelin
4292,Led Zeppelin
4330,Led Zeppelin
4339,Led Zeppelin
4347,Led Zeppelin
4767,Johnny Cash
4856,The Beatles
4878,The Beatles
4949,The Beatles
4981,Bob Dylan
5505,The Rolling Stones
6122,Bob Dylan
6128,Frank Sinatra
6267,Johnny Cash
6292,Johnny Cash
6310,Johnny Cash
6345,Johnny Cash
6581,Eminem
6648,Eminem
6650,Eminem
6772,Led Zeppelin
6774,Led Zeppelin
6797,Led Zeppelin
6815,Led Zeppelin
6851,Led Zeppelin
6968,Drake
7147,Drake
7268,The Beach Boys
7429,Drake
7443,Drake
7527,The Beatles
7597,Drake
7672,Drake
7923,Drake
7936,Drake
8085,Drake
8102,Eminem
8110,Eminem
9890,Frank Sinatra
9967,Johnny Cash
9975,Frank Sinatra
9976,Frank Sinatra
9990,Johnny Cash
10006,Frank Sinatra
10016,Johnny Cash
10021,Johnny Cash
10179,Johnny Cash
10230,Johnny Cash
10270,Frank Sinatra
10340,Frank Sinatra
10351,Frank Sinatra
10357,Johnny Cash
10373,Elvis Presley
10378,Frank Sinatra
10400,Elvis Presley
10416,Frank Sinatra
10434,Elvis Presley
10445,Frank Sinatra
10459,Bob Dylan
10461,Frank Sinatra
10472,The Beach Boys
10473,Bob Dylan
10476,The Beach Boys
10482,Bob Dylan
10483,The Beach Boys
10486,Bob Dylan
10490,Bob Dylan
10503,Elvis Presley
10510,Bob Dylan
10514,The Beach Boys
10521,Bob Dylan
10523,The Beach Boys
10552,The Rolling Stones
10564,Johnny Cash
10616,The Beach Boys
10633,The Beach Boys
10638,Johnny Cash
10639,Elvis Presley
10640,The Beach Boys
10641,Bob Dylan
10642,Elvis Presley
10648,Frank Sinatra
10656,Johnny Cash
10667,The Rolling Stones
10670,Bob Dylan
10671,The Rolling Stones
10672,Bob Dylan
10676,The Beach Boys
10677,Frank Sinatra
10679,The Rolling Stones
10689,The Beach Boys
10700,The Rolling Stones
10707,The Beach Boys
10714,Bob Dylan
10718,Bob Dylan
10724,Bob Dylan
10736,The Beach Boys
10745,Bob Dylan
10746,The Rolling Stones
10760,The Rolling Stones
10771,Bob Dylan
10773,The Beach Boys
10775,The Rolling Stones
10778,The Rolling Stones
10780,The Beach Boys
10785,The Rolling Stones
10792,Bob Dylan
10793,Frank Sinatra
10796,Bob Dylan
10804,The Beach Boys
10822,The Beach Boys
10823,The Beach Boys
10826,The Rolling Stones
10827,The Rolling Stones
10838,Bob Dylan
10843,The Beatles
10856,The Beatles
10860,Bob Dylan
10864,Bob Dylan
10876,The Beach Boys
10900,Bob Dylan
10901,The Rolling Stones
10902,The Beach Boys
10903,The Beatles
10921,Bob Dylan
10932,Elvis Presley
10933,The Beatles
10946,The Beach Boys
10956,Elvis Presley
10964,The Beach Boys
10968,Johnny Cash
10982,Johnny Cash
10983,Johnny Cash
11000,Frank Sinatra
11046,Frank Sinatra
11049,Elvis Presley
11058,Johnny Cash
11071,Led Zeppelin
11078,The Rolling Stones
11081,Elvis Presley
11103,The Beach Boys
11110,Led Zeppelin
11114,Johnny Cash
11135,Johnny Cash
11146,Led Zeppelin
11170,Led Zeppelin
11173,Led Zeppelin
11175,Johnny Cash
11182,Led Zeppelin
11193,Elvis Presley
11211,Bob Dylan
11223,The Rolling Stones
11246,The Rolling Stones
11306,Bob Dylan
11314,The Rolling Stones
11320,The Rolling Stones
11395,Elvis Presley
11424,The Rolling Stones
11447,Led Zeppelin
11498,Bob Dylan
11567,Bob Dylan
11624,Bob Dylan
11640,Johnny Cash
11674,Bob Dylan
11675,Bob Dylan
11713,Johnny Cash
11723,Bob Dylan
11726,Bob Dylan
11774,Led Zeppelin
11810,Led Zeppelin
11839,Elvis Presley
12025,The Rolling Stones
12038,Bob Dylan
