,principal component 1,principal component 2,artists
0,-0.633489016,-0.738237534,Johnny Cash
1,-0.364470214,-1.699301822,Johnny Cash
2,0.179776842,-1.797594807,Johnny Cash
3,0.174343741,-2.177498369,Johnny Cash
4,-0.353293555,-1.915989579,Johnny Cash
5,3.063545312,0.932553188,Frank Sinatra
6,2.640639039,0.294741885,Frank Sinatra
7,-0.746083075,-2.078616519,Johnny Cash
8,0.25627469,-1.278403465,Johnny Cash
9,3.866679588,-0.114076526,Frank Sinatra
10,2.930252241,1.082869206,Frank Sinatra
11,0.893239888,0.014921759,Johnny Cash
12,0.734025857,-1.784002442,Johnny Cash
13,3.175377549,2.220456626,Frank Sinatra
14,3.144884536,0.444196043,Frank Sinatra
15,-0.276708422,-2.354987311,Johnny Cash
16,0.864184783,-0.649095294,Johnny Cash
17,0.51892356,-1.538632047,Johnny Cash
18,0.734025857,-1.784002442,Johnny Cash
19,-0.558851815,-0.76140603,Johnny Cash
20,-0.375632542,-0.987890735,Frank Sinatra
21,0.616792342,1.279295204,Frank Sinatra
22,-0.831011155,-2.451623413,Johnny Cash
23,-0.98969561,0.316879069,Johnny Cash
24,3.783960809,0.727119038,Frank Sinatra
25,3.024917125,0.614544108,Frank Sinatra
26,0.998493667,-1.23124586,Frank Sinatra
27,-1.000475896,-0.447775624,Johnny Cash
28,3.386076657,0.837874789,Frank Sinatra
29,0.055505988,-0.840927934,Johnny Cash
30,3.511998928,0.47491844,Frank Sinatra
31,2.948836861,0.883108205,Frank Sinatra
32,-1.240833853,-0.078859302,Elvis Presley
33,-0.087049778,-1.599066867,Johnny Cash
34,1.250815632,-0.531963056,Johnny Cash
35,3.027338397,0.419100485,Frank Sinatra
36,1.15990139,-0.184152628,Johnny Cash
37,1.092734748,-0.146370425,Bob Dylan
38,-1.768032658,-1.854662505,The Beach Boys
39,-1.783106341,-0.801890514,The Beach Boys
40,0.092597178,1.057028619,The Beach Boys
41,-1.606151837,-1.57333238,The Beach Boys
42,-0.670319712,-0.466023884,The Beach Boys
43,-0.611126711,-1.196563105,Johnny Cash
44,-2.496810171,1.328535041,The Beach Boys
45,-0.973092138,-2.148092667,The Beach Boys
46,0.520088185,0.172213673,Elvis Presley
47,1.739194821,-1.400610273,Bob Dylan
48,-0.13033085,-1.159055648,Elvis Presley
49,3.798570299,0.677017999,Frank Sinatra
50,2.194768289,-0.8518968,Bob Dylan
51,1.65028402,0.464004267,Bob Dylan
52,-2.326669837,1.630604251,The Beach Boys
53,-1.140851098,-1.160120378,The Beach Boys
