,year
2755,1967
2756,1967
2798,1967
2841,1967
2844,1967
3050,1969
4856,1988
4878,1988
4949,1988
7527,2014
10843,1967
10856,1967
10903,1967
10933,1967
12937,1988
13009,1988
18856,1967
18860,1967
18881,1967
18888,1967
18903,1967
18922,1967
18929,1967
18936,1967
19111,1969
21006,1988
21035,1988
23606,2014
26846,1967
26868,1967
26880,1967
26901,1967
26904,1967
26908,1967
26909,1967
26912,1967
26933,1967
28971,1988
29008,1988
29794,1996
34841,1967
34857,1967
34870,1967
34891,1967
34897,1967
34934,1967
35078,1969
38831,2006
42686,1967
42692,1967
42702,1967
42742,1967
50335,1967
54217,2006
68158,1995
72941,1969
75621,1996
82240,1963
82243,1963
82246,1963
82248,1963
82249,1963
82254,1963
82257,1963
82260,1963
82264,1963
82267,1963
82270,1963
82271,1963
82272,1963
82277,1963
82294,1963
82321,1963
82322,1963
82334,1963
82339,1963
82355,1964
82357,1964
82358,1964
82364,1964
82366,1964
82372,1964
82374,1964
82381,1964
82382,1964
82387,1964
82425,1964
82427,1964
82428,1964
82434,1964
82438,1964
82441,1965
82443,1965
82447,1965
82451,1965
82460,1965
82462,1965
82463,1965
82464,1965
82467,1965
82471,1965
82475,1965
82479,1965
82482,1965
82488,1965
82492,1965
82494,1965
82516,1965
82520,1965
82525,1965
82527,1965
82528,1965
82537,1965
82547,1966
82561,1966
82576,1966
82577,1966
82579,1966
82582,1966
82587,1966
82591,1966
82592,1966
82602,1966
82611,1966
82634,1966
82646,1967
82652,1967
82657,1967
82658,1967
82660,1967
82663,1967
82664,1967
82665,1967
82669,1967
82671,1967
82684,1967
82701,1967
82704,1967
82706,1967
82708,1967
82711,1967
82737,1967
82745,1968
82753,1968
82756,1968
82767,1968
82770,1968
82772,1968
82773,1968
82787,1968
82791,1968
82807,1968
82811,1968
82814,1968
82818,1968
82827,1968
82829,1968
82836,1968
82840,1969
82844,1969
82856,1969
82867,1969
82879,1969
82891,1969
82893,1969
82894,1969
82902,1969
82903,1969
82905,1969
82908,1969
82917,1969
82920,1969
82932,1969
82937,1969
82946,1970
82983,1970
83005,1970
83014,1970
83273,1973
83284,1973
83293,1973
83294,1973
83318,1973
85951,2000
85954,2000
86004,2000
86034,2000
92039,1963
92040,1963
92047,1963
92053,1963
92056,1963
92058,1963
92060,1963
92062,1963
92101,1963
92139,1964
92140,1964
92152,1964
92156,1964
92165,1964
92167,1964
92169,1964
92176,1964
92183,1964
92184,1964
92191,1964
92200,1964
92237,1965
92261,1965
92262,1965
92278,1965
92279,1965
92280,1965
92340,1966
92345,1966
92442,1967
92455,1967
92462,1967
92468,1967
92471,1967
92473,1967
92492,1967
92523,1967
92526,1967
92534,1967
92540,1968
92549,1968
92552,1968
92555,1968
92556,1968
92566,1968
92569,1968
92570,1968
92581,1968
92583,1968
92586,1968
92595,1968
92607,1968
92661,1969
92675,1969
92732,1969
92794,1970
92809,1970
92832,1970
93038,1973
95737,2000
95743,2000
95759,2000
95768,2000
95770,2000
95808,2000
101945,1967
101946,1967
101957,1967
101960,1967
101963,1967
102005,1967
102010,1967
102028,1967
102032,1967
102040,1968
102156,1969
102183,1969
102229,1969
102248,1970
102294,1970
102311,1970
102331,1970
102567,1973
104059,1988
104073,1988
105239,2000
105279,2000
105282,2000
105290,2000
105301,2000
105302,2000
105305,2000
105307,2000
105309,2000
105326,2000
111351,1967
111360,1967
111364,1967
111370,1967
111373,1967
111378,1967
111396,1967
111400,1967
111402,1967
111427,1967
111433,1967
111537,1969
111648,1970
111993,1973
113491,1988
113499,1988
113517,1988
114638,2000
114645,2000
114647,2000
114692,2000
114701,2000
114735,2000
115241,2006
120821,1967
120823,1967
120827,1967
120843,1967
120858,1967
120860,1967
120870,1967
120883,1967
120915,1967
121469,1973
121496,1973
121513,1973
122979,1988
122997,1988
123008,1988
123012,1988
130166,1967
130171,1967
130178,1967
130180,1967
130201,1967
130237,1967
130746,1973
130787,1973
130789,1973
130799,1973
130807,1973
130809,1973
130811,1973
130828,1973
130834,1973
133034,1995
138991,1967
138996,1967
139013,1967
139529,1973
139534,1973
139540,1973
139559,1973
139566,1973
139573,1973
139577,1973
139582,1973
139599,1973
139606,1973
139609,1973
139610,1973
139611,1973
139616,1973
141069,1988
141084,1988
141088,1988
141109,1988
141810,1995
147600,1967
147610,1967
147663,1967
147665,1967
147674,1967
147688,1967
147689,1967
147805,1969
148202,1973
148203,1973
148228,1973
148246,1973
148254,1973
148259,1973
148265,1973
148269,1973
148270,1973
148271,1973
148273,1973
148274,1973
148288,1973
149697,1988
150431,1995
150517,1996
156121,1967
156149,1967
156159,1967
156182,1967
156187,1967
156706,1973
156709,1973
156736,1973
156744,1973
156756,1973
156790,1973
158214,1988
158235,1988
158249,1988
158258,1988
158275,1988
164514,1967
164538,1967
164547,1967
164561,1967
164564,1967
164588,1967
166656,1988
166665,1988
166683,1988
166696,1988
